n_topics,coherence_score (u_mass)
10,-0.9349251246297771
11,-0.875536375481649
12,-1.0153553228386833
13,-1.0436078739555783
14,-1.0999156555261276
15,-1.1042628610182157
16,-1.0333512677263283
17,-1.223648970146586
18,-1.0855549890262317
19,-1.054532725620698
20,-1.2844943197399343
21,-1.2383365532132191
22,-1.0875366450052937
23,-1.1344723862877828
24,-1.0852112641073954
25,-1.1171255830012439
26,-1.2022950419009526
27,-1.2381638956299315
28,-1.4502859698161052
29,-1.2476214049405203
